"Data:  10/17-9/18, excludes Rehab, excludes claims having LOS 3X CMS ALOS, excludes DRG's with less than 11 admissions",,,
Facility,DRG,DRG Description,Average Covered Charges
LAKELAND,065,INTRACRANIAL HEMORRHAGE OR CEREBRAL INFARCTION W CC OR TPA IN 24 HRS,"26,452"
LAKELAND,177,RESPIRATORY INFECTIONS & INFLAMMATIONS W MCC,"30,886"
LAKELAND,189,PULMONARY EDEMA & RESPIRATORY FAILURE,"26,027"
LAKELAND,190,CHRONIC OBSTRUCTIVE PULMONARY DISEASE W MCC,"26,470"
LAKELAND,191,CHRONIC OBSTRUCTIVE PULMONARY DISEASE W CC,"18,666"
LAKELAND,193,SIMPLE PNEUMONIA & PLEURISY W MCC,"28,273"
LAKELAND,194,SIMPLE PNEUMONIA & PLEURISY W CC,"20,376"
LAKELAND,202,BRONCHITIS & ASTHMA W CC/MCC,"21,303"
LAKELAND,291,HEART FAILURE & SHOCK W MCC,"24,910"
LAKELAND,292,HEART FAILURE & SHOCK W CC,"20,268"
LAKELAND,308,CARDIAC ARRHYTHMIA & CONDUCTION DISORDERS W MCC,"26,833"
LAKELAND,309,CARDIAC ARRHYTHMIA & CONDUCTION DISORDERS W CC,"22,735"
LAKELAND,312,SYNCOPE & COLLAPSE,"19,363"
LAKELAND,378,G.I. HEMORRHAGE W CC,"29,496"
LAKELAND,389,G.I. OBSTRUCTION W CC,"21,146"
LAKELAND,390,G.I. OBSTRUCTION W/O CC/MCC,"15,779"
LAKELAND,392,"ESOPHAGITIS, GASTROENT & MISC DIGEST DISORDERS W/O MCC","18,608"
LAKELAND,394,OTHER DIGESTIVE SYSTEM DIAGNOSES W CC,"30,725"
LAKELAND,418,LAPAROSCOPIC CHOLECYSTECTOMY W/O C.D.E. W CC,"43,596"
LAKELAND,419,LAPAROSCOPIC CHOLECYSTECTOMY W/O C.D.E. W/O CC/MCC,"36,332"
LAKELAND,438,DISORDERS OF PANCREAS EXCEPT MALIGNANCY W MCC,"31,841"
LAKELAND,439,DISORDERS OF PANCREAS EXCEPT MALIGNANCY W CC,"19,158"
LAKELAND,440,DISORDERS OF PANCREAS EXCEPT MALIGNANCY W/O CC/MCC,"16,495"
LAKELAND,470,MAJOR HIP AND KNEE JOINT REPLACEMENT OR REATTACHMENT OF LOWER EXTREMITY W/O MCC,"54,520"
LAKELAND,481,HIP & FEMUR PROCEDURES EXCEPT MAJOR JOINT W CC,"53,456"
LAKELAND,536,FRACTURES OF HIP & PELVIS W/O MCC,"17,444"
LAKELAND,603,CELLULITIS W/O MCC,"15,712"
LAKELAND,640,"MISC DISORDERS OF NUTRITION,METABOLISM,FLUIDS/ELECTROLYTES W MCC","22,334"
LAKELAND,641,"MISC DISORDERS OF NUTRITION,METABOLISM,FLUIDS/ELECTROLYTES W/O MCC","16,662"
LAKELAND,682,RENAL FAILURE W MCC,"29,741"
LAKELAND,683,RENAL FAILURE W CC,"22,169"
LAKELAND,690,KIDNEY & URINARY TRACT INFECTIONS W/O MCC,"20,916"
LAKELAND,698,OTHER KIDNEY & URINARY TRACT DIAGNOSES W MCC,"21,604"
LAKELAND,765,CESAREAN SECTION W CC/MCC,"23,282"
LAKELAND,766,CESAREAN SECTION W/O CC/MCC,"22,435"
LAKELAND,767,VAGINAL DELIVERY W STERILIZATION &/OR D&C,"21,520"
LAKELAND,774,VAGINAL DELIVERY W COMPLICATING DIAGNOSES,"11,877"
LAKELAND,775,VAGINAL DELIVERY W/O COMPLICATING DIAGNOSES,"11,709"
LAKELAND,789,"NEONATES, DIED OR TRANSFERRED TO ANOTHER ACUTE CARE FACILITY","3,511"
LAKELAND,791,PREMATURITY W MAJOR PROBLEMS,"5,630"
LAKELAND,792,PREMATURITY W/O MAJOR PROBLEMS,"4,882"
LAKELAND,793,FULL TERM NEONATE W MAJOR PROBLEMS,"4,710"
LAKELAND,794,NEONATE W OTHER SIGNIFICANT PROBLEMS,"3,989"
LAKELAND,795,NORMAL NEWBORN,"3,378"
LAKELAND,812,RED BLOOD CELL DISORDERS W/O MCC,"23,238"
LAKELAND,871,SEPTICEMIA OR SEVERE SEPSIS W/O MV >96 HOURS W MCC,"34,589"
LAKELAND,872,SEPTICEMIA OR SEVERE SEPSIS W/O MV >96 HOURS W/O MCC,"23,568"
LAKELAND,897,ALCOHOL/DRUG ABUSE OR DEPENDENCE W/O REHABILITATION THERAPY W/O MCC,"20,971"
LAKELAND,918,POISONING & TOXIC EFFECTS OF DRUGS W/O MCC,"12,851"
LAKELAND,951,OTHER FACTORS INFLUENCING HEALTH STATUS,"7,722"
