"Data:  10/17-9/18, excludes Rehab, excludes claims having LOS 3X CMS ALOS, excludes DRG's with less than 11 admissions",,,
Facility,DRG,DRG Description,Average Covered Charges
ST LUKES,001,HEART TRANSPLANT OR IMPLANT OF HEART ASSIST SYSTEM W MCC,"836,388"
ST LUKES,002,HEART TRANSPLANT OR IMPLANT OF HEART ASSIST SYSTEM W/O MCC,"502,877"
ST LUKES,003,"ECMO OR TRACH W MV >96 HRS OR PDX EXC FACE, MOUTH & NECK W MAJ O.R.","549,496"
ST LUKES,004,"TRACH W MV >96 HRS OR PDX EXC FACE, MOUTH & NECK W/O MAJ O.R.","308,109"
ST LUKES,005,LIVER TRANSPLANT W MCC OR INTESTINAL TRANSPLANT,"539,865"
ST LUKES,011,"TRACHEOSTOMY FOR FACE,MOUTH & NECK DIAGNOSES W MCC","183,250"
ST LUKES,012,"TRACHEOSTOMY FOR FACE,MOUTH & NECK DIAGNOSES W CC","139,213"
ST LUKES,016,AUTOLOGOUS BONE MARROW TRANSPLANT W CC/MCC,"188,111"
ST LUKES,020,INTRACRANIAL VASCULAR PROCEDURES W PDX HEMORRHAGE W MCC,"427,496"
ST LUKES,023,CRANIOTOMY W MAJOR DEVICE IMPLANT OR ACUTE CNS PDX W MCC OR CHEMOTHERAPY IMPLANT OR EPILEPSY W NEUROSTIMULATOR,"232,005"
ST LUKES,024,CRANIO W MAJOR DEV IMPL/ACUTE COMPLEX CNS PDX W/O MCC,"168,122"
ST LUKES,025,CRANIOTOMY & ENDOVASCULAR INTRACRANIAL PROCEDURES W MCC,"205,729"
ST LUKES,026,CRANIOTOMY & ENDOVASCULAR INTRACRANIAL PROCEDURES W CC,"141,330"
ST LUKES,027,CRANIOTOMY & ENDOVASCULAR INTRACRANIAL PROCEDURES W/O CC/MCC,"111,798"
ST LUKES,029,SPINAL PROCEDURES W CC OR SPINAL NEUROSTIMULATORS,"132,620"
ST LUKES,030,SPINAL PROCEDURES W/O CC/MCC,"93,059"
ST LUKES,032,VENTRICULAR SHUNT PROCEDURES W CC,"105,471"
ST LUKES,033,VENTRICULAR SHUNT PROCEDURES W/O CC/MCC,"80,319"
ST LUKES,038,EXTRACRANIAL PROCEDURES W CC,"46,032"
ST LUKES,039,EXTRACRANIAL PROCEDURES W/O CC/MCC,"34,390"
ST LUKES,040,PERIPH/CRANIAL NERVE & OTHER NERV SYST PROC W MCC,"127,183"
ST LUKES,041,PERIPH/CRANIAL NERVE & OTHER NERV SYST PROC W CC OR PERIPH NEUROSTIM,"102,448"
ST LUKES,054,NERVOUS SYSTEM NEOPLASMS W MCC,"54,492"
ST LUKES,055,NERVOUS SYSTEM NEOPLASMS W/O MCC,"50,234"
ST LUKES,056,DEGENERATIVE NERVOUS SYSTEM DISORDERS W MCC,"51,737"
ST LUKES,057,DEGENERATIVE NERVOUS SYSTEM DISORDERS W/O MCC,"38,418"
ST LUKES,060,MULTIPLE SCLEROSIS & CEREBELLAR ATAXIA W/O CC/MCC,"41,073"
ST LUKES,061,"ISCHEMIC STROKE, PRECEREBRAL OCCLUSION OR TRANSIENT ISCHEMIA W THROMBOLYTIC AGENT W MCC","112,834"
ST LUKES,062,"ISCHEMIC STROKE, PRECEREBRAL OCCLUSION OR TRANSIENT ISCHEMIA W THROMBOLYTIC AGENT W CC","100,188"
ST LUKES,064,INTRACRANIAL HEMORRHAGE OR CEREBRAL INFARCTION W MCC,"56,518"
ST LUKES,065,INTRACRANIAL HEMORRHAGE OR CEREBRAL INFARCTION W CC OR TPA IN 24 HRS,"44,180"
ST LUKES,066,INTRACRANIAL HEMORRHAGE OR CEREBRAL INFARCTION W/O CC/MCC,"36,266"
ST LUKES,069,TRANSIENT ISCHEMIA W/O THROMBOLYTIC,"35,723"
ST LUKES,070,NONSPECIFIC CEREBROVASCULAR DISORDERS W MCC,"69,256"
ST LUKES,071,NONSPECIFIC CEREBROVASCULAR DISORDERS W CC,"41,789"
ST LUKES,074,CRANIAL & PERIPHERAL NERVE DISORDERS W/O MCC,"33,056"
ST LUKES,082,"TRAUMATIC STUPOR & COMA, COMA >1 HR W MCC","60,803"
ST LUKES,083,"TRAUMATIC STUPOR & COMA, COMA >1 HR W CC","40,550"
ST LUKES,084,"TRAUMATIC STUPOR & COMA, COMA >1 HR W/O CC/MCC","20,471"
ST LUKES,085,"TRAUMATIC STUPOR & COMA, COMA <1 HR W MCC","82,146"
ST LUKES,086,"TRAUMATIC STUPOR & COMA, COMA <1 HR W CC","43,384"
ST LUKES,087,"TRAUMATIC STUPOR & COMA, COMA <1 HR W/O CC/MCC","26,966"
ST LUKES,091,OTHER DISORDERS OF NERVOUS SYSTEM W MCC,"68,376"
ST LUKES,092,OTHER DISORDERS OF NERVOUS SYSTEM W CC,"37,605"
ST LUKES,093,OTHER DISORDERS OF NERVOUS SYSTEM W/O CC/MCC,"32,441"
ST LUKES,100,SEIZURES W MCC,"79,301"
ST LUKES,101,SEIZURES W/O MCC,"37,858"
ST LUKES,103,HEADACHES W/O MCC,"35,066"
ST LUKES,123,NEUROLOGICAL EYE DISORDERS,"42,962"
ST LUKES,131,CRANIAL/FACIAL PROCEDURES W CC/MCC,"137,810"
ST LUKES,132,CRANIAL/FACIAL PROCEDURES W/O CC/MCC,"46,834"
