Item Description, Price 
 RESP MS THER/15 MIN W/PLB PROC, $130.00 
"*EKG*-12 LEAD, TRACING ONLY", $200.00 
0.45% NACL 1000ML, $52.00 
0.45% NACL 500ML, $52.00 
0.9% NACL  250ML INFUS, $52.00 
0.9% NACL  KCL 20MEQ 1000ML, $46.00 
0.9% NACL  KCL 40MEQ 1000ML, $46.00 
0.9% NACL 1000ML INFUS, $52.00 
0.9% NACL 100ML, $52.00 
0.9% NACL 100ML ADDVANTAGE, $52.00 
0.9% NACL 250ML ADDVANTAGE INFUS, $52.00 
16-37 MINS  INDIVIDUAL PSYCHOTHERAPY, $364.00 
2.0 x 12 SNAP OFF SCREW, $419.00 
21-HYDROXYLASE, $190.00 
2ND PROCEDURE EXCISION LIPOMA THIGH," $4,088.00 "
2ND SU-EXC LG/ANK TUM <3 CM SUBCUTANEOUS," $1,879.00 "
2ND SUR-COLON W/LES REM BIOPSY HOT," $3,338.00 "
2ND SURG -ARTHRSCPY SHLDR; DEBRID EXTENS," $3,439.87 "
2ND SURG-2' REPR/SUTR LEG EXT TENDON EAC," $3,913.00 "
2ND SURG-APPLY CULT SKIN SUBS =<25 SQ CM," $1,439.00 "
2ND SURG-ARTHROD IP JOINT W/WO FIXATION," $2,286.00 "
2ND SURG-ARTHRSCPY SHOULDER DECOMPR," $2,666.67 "
2ND SURG-BREAST BIOPSY; OPEN," $2,091.00 "
2ND SURG-COLON FLEX W REM LES SNARE," $3,878.00 "
2ND SURG-COLON W FLEX SIN OR MLT BIOP," $3,346.00 "
2ND SURG-COLONOSCOPY FLEX W ABL TUM LES," $5,217.00 "
2ND SURG-COLONSCOPY FLEX W ABLATION LES," $1,863.00 "
2ND SURG-CYSTO W MANIP WO REM OF CALC," $3,266.00 "
2ND SURG-CYSTOSCOPY W/URETERAL CATH," $1,417.00 "
2ND SURG-DIAGNOSTIC COLONOSCOPY FLEX," $2,265.00 "
2ND SURG-DR ABSCESS SUBMAX/SUBLING INTRA, $809.00 
2ND SURG-EGD BIOPSY SINGLE/MULTIPLE," $3,826.00 "
2ND SURG-ENDOSCOPY WRIST W RLS TRNSV LIG," $3,266.00 "
2ND SURG-EXC BEN LES T/A/L; 1.1-2.0 CM," $1,254.00 "
2ND SURG-EXC BEN LES T/A/L; 2.1-3.0 CM," $1,254.00 "
2ND SURG-EXC BEN LES T/A/L; 3.10-4.00 CM," $1,254.00 "
2ND SURG-EXC BLES S/N/EX G;  <=0.5 CM," $1,254.00 "
2ND SURG-EXC BLES S/N/EX G; 0.60-1.00 CM," $1,254.00 "
2ND SURG-EXC F/E/E/N/L MAL LES 2.1-3 CM," $2,224.00 "
2ND SURG-EXC FOOT/TOE TUM SC >=1.50 CM," $2,609.00 "
2ND SURG-EXC GANGLION WRIST PRIM," $2,363.00 "
2ND SURG-EXC LEG/ANKLE TUM DEEP <5 CM," $2,224.00 "
2ND SURG-EXC LES F/E/E/N/L MAL 1.1-2 CM," $1,254.00 "
2ND SURG-EXC TNDN SHTH LES HAND/FING," $2,286.00 "
2ND SURG-EXCISION FOOT CYST/GANGLION," $2,609.00 "
2ND SURG-HERNIA REPAIR W/MESH," $3,317.00 "
2ND SURG-INCISION TENDON SHEATH," $2,286.00 "
2ND SURG-LAP ING HERNIA REPAIR INIT," $4,833.00 "
2ND SURG-LAP ING HERNIA RPR RECUR," $5,217.00 "
2ND SURG-LENGTH/SHT TD LEG/ANK SGL," $2,971.00 "
2ND SURG-MT SHORTEN NOT 1ST MT EA OST," $2,609.00 "
2ND SURG-PROCEDURE MUSCULOSKELETAL SYSTE," $4,113.00 "
2ND SURG-PROCEDURE MUSCULOSKELETAL SYSTE," $2,043.00 "
2ND SURG-REM ADENOIDS 1' <12 YRS," $2,358.00 "
2ND SURG-REM VENTIL TUBE UNDER ANESTH," $2,282.00 "
2ND SURG-REPAIR OF HAMMERTOE," $2,609.00 "
2ND SURG-RPR UMBIL HERN REDUC >=5 YR," $3,317.00 "
2ND SURG-SHORTEN PHALANGE ANY TOE OST," $2,770.00 "
2ND SURG-SHOULDER MUMFORD PROC," $2,800.50 "
2ND SURG-UNLISTED JNT ARTHROSCOPY PROCED," $3,266.00 "
2ND SUR-REP EPIGASTRIC HERN INCARCERATED," $3,322.00 "
2ND SUR-UMB HER >=5 YRS INCARCERATED REP," $3,317.00 "
2ND-MYRING INCL ASP/EUSTACH INFLAT REQ A," $2,202.00 "
2ND-SKIN FULL GRAFT EEN & LIPS =<20 SQCM," $1,957.00 "
38-52 MINS  INDIVIDUAL PSYCHOTHERAPY, $390.00 
53-67 MINS  INDIVIDUAL PSYCHOTHERAPY, $416.00 
6-MMPN, $204.00 
6-TGN, $204.00 
ABDOMINAL PARACENTESIS W/IMAGING, $564.00 
"ABG, BLOOD", $180.00 
ACETAM/COD (TYLENOL #3) 300/30MG TAB, $11.00 
ACETAMINOPHEN (ACEPHEN RECT)SUPP  120MG, $11.00 
ACETAMINOPHEN LEVEL, $160.00 
ACETAMINOPHEN RECTAL SUPP 325MG, $11.00 
ACETAMINOPHEN SUPP 650MG, $11.00 
ACETYLCHOLINE RECEPTOR BINDING AB, $198.00 
ACETYLCYSTEINE(MUCOMYST) 20% AMP 30 ML, $25.00 
ACOMPROSATE (CAMPRAL) TAB:  333MG, $11.00 
ACTIVATED CHARCOAL (ACTIDOSE-AQUA) 50GM, $65.00 
ACYCLOVIR CAP : 200MG, $5.00 
ACYCLOVIR TAB: 400MG, $5.00 
ADENOSINE SYR INJ 6MG/2ML, $48.00 
ADRENOCORTICOTRIPIC HORMONE-ACTH, $225.00 
AFB SMEAR, $70.00 
"AFP, MATERNAL SCREEN", $117.00 
AIRWAY CLOSING VOLUME SGL TESTS, $223.00 
AIRWAY NEB RN ER SUBS, $130.00 
AIRWAY NEB RN MEDSURG INITIAL, $130.00 
AIRWAY NEB RT INITIAL, $130.00 
AIRWAY NEB RT SUBS, $130.00 
AIRWAY RN ER NEB INITIAL, $130.00 
ALBUMIN, $42.00 
ALBUTEROL INHALER  90MCG, $77.31 
ALBUTEROL NEB AMP  2.5MG, $11.00 
ALBUTEROL/IPRATROPIUM (COMBIVENT) INHALE, $910.00 
ALCOHOL (ETHANOL), $132.00 
ALDOLASE, $76.00 
ALDOSTERONE, $246.00 
