DRG_Long_Desc,Average_Charge_Per_Case,Average_Medicare_Payment_Per_Case
003 - ECMO OR TRACH W MV >96 HRS OR PDX EXC FACE; MOUTH & NECK W MAJ O.R.,636091.69,98956.2
004 - TRACH W MV >96 HRS OR PDX EXC FACE; MOUTH & NECK W/O MAJ O.R.,628046.45,67843.95
025 - CRANIOTOMY & ENDOVASCULAR INTRACRANIAL PROCEDURES W MCC,211398.05,23533.47
026 - CRANIOTOMY & ENDOVASCULAR INTRACRANIAL PROCEDURES W CC,195201.06,No Medicare Payment Available
027 - CRANIOTOMY & ENDOVASCULAR INTRACRANIAL PROCEDURES W/O CC/MCC,90020.19,No Medicare Payment Available
028 - SPINAL PROCEDURES W MCC,177801.91,31865.35
029 - SPINAL PROCEDURES W CC OR SPINAL NEUROSTIMULATORS,72444.08,19268.4
030 - SPINAL PROCEDURES W/O CC/MCC,52723.48,No Medicare Payment Available
032 - VENTRICULAR SHUNT PROCEDURES W CC,67585.64,10061.07
037 - EXTRACRANIAL PROCEDURES W MCC,45272.18,18655.53
038 - EXTRACRANIAL PROCEDURES W CC,58808.93,9713.02
039 - EXTRACRANIAL PROCEDURES W/O CC/MCC,36014.01,7228.21
040 - PERIPH/CRANIAL NERVE & OTHER NERV SYST PROC W MCC,160142.43,21674.38
041 - PERIPH/CRANIAL NERVE & OTHER NERV SYST PROC W CC OR PERIPH NEUROSTIM,104885.33,13015.2
042 - PERIPH/CRANIAL NERVE & OTHER NERV SYST PROC W/O CC/MCC,79022.98,11190.88
052 - SPINAL DISORDERS & INJURIES W CC/MCC,96313.25,No Medicare Payment Available
053 - SPINAL DISORDERS & INJURIES W/O CC/MCC,43124.98,12575.3
054 - NERVOUS SYSTEM NEOPLASMS W MCC,97827.81,No Medicare Payment Available
056 - DEGENERATIVE NERVOUS SYSTEM DISORDERS W MCC,116029.17,16074.42
057 - DEGENERATIVE NERVOUS SYSTEM DISORDERS W/O MCC,63617.18,15763.6
058 - MULTIPLE SCLEROSIS & CEREBELLAR ATAXIA W MCC,53979.45,No Medicare Payment Available
059 - MULTIPLE SCLEROSIS & CEREBELLAR ATAXIA W CC,40546.55,7028.4
060 - MULTIPLE SCLEROSIS & CEREBELLAR ATAXIA W/O CC/MCC,36833.84,5323.77
061 - ISCHEMIC STROKE; PRECEREBRAL OCCL OR TRANS ISCHEMIA W THROMBOLYTIC AGENT W MCC,123684.44,16607.63
062 - ISCHEMIC STROKE; PRECEREBRAL OCCL OR TRANSIENT ISCHEMIA W THROMBOLYTIC AGENT W C,108897.92,11275.74
063 - ISCHEMIC STROKE; PRECEREBRAL OCCL OR TRANSIENT ISCHEMIA W THROMB AGENT W/O CC/MC,88348.87,No Medicare Payment Available
064 - INTRACRANIAL HEMORRHAGE OR CEREBRAL INFARCTION W MCC,88734.64,10838.16
065 - INTRACRANIAL HEMORRHAGE OR CEREBRAL INFARCTION W CC,64367.88,6598.23
066 - INTRACRANIAL HEMORRHAGE OR CEREBRAL INFARCTION W/O CC/MCC,51362.57,5143.95
067 - NONSPECIFIC CVA & PRECEREBRAL OCCLUSION W/O INFARCT W MCC,45248.53,No Medicare Payment Available
068 - NONSPECIFIC CVA & PRECEREBRAL OCCLUSION W/O INFARCT W/O MCC,41834.62,5897.51
069 - TRANSIENT ISCHEMIA W/O THROMBOLYTIC,50611.95,4681.49
070 - NONSPECIFIC CEREBROVASCULAR DISORDERS W MCC,104396.09,17170.79
071 - NONSPECIFIC CEREBROVASCULAR DISORDERS W CC,62039.72,8232.71
072 - NONSPECIFIC CEREBROVASCULAR DISORDERS W/O CC/MCC,52170.28,5217.99
073 - CRANIAL & PERIPHERAL NERVE DISORDERS W MCC,63723.38,7772.89
074 - CRANIAL & PERIPHERAL NERVE DISORDERS W/O MCC,46343.94,5975.35
075 - VIRAL MENINGITIS W CC/MCC,46628.96,No Medicare Payment Available
077 - HYPERTENSIVE ENCEPHALOPATHY W MCC,60818.89,9343.55
078 - HYPERTENSIVE ENCEPHALOPATHY W CC,52397.72,5382.72
079 - HYPERTENSIVE ENCEPHALOPATHY W/O CC/MCC,37775.5,4901.51
080 - NONTRAUMATIC STUPOR & COMA W MCC,9053.88,83.94
081 - NONTRAUMATIC STUPOR & COMA W/O MCC,86527.27,5193.42
082 - TRAUMATIC STUPOR & COMA; COMA >1 HR W MCC,120585.11,No Medicare Payment Available
083 - TRAUMATIC STUPOR & COMA; COMA >1 HR W CC,62122.75,7795.46
084 - TRAUMATIC STUPOR & COMA; COMA >1 HR W/O CC/MCC,35669.43,5998.02
085 - TRAUMATIC STUPOR & COMA; COMA <1 HR W MCC,91075.83,No Medicare Payment Available
086 - TRAUMATIC STUPOR & COMA; COMA <1 HR W CC,37982.13,7545.96
091 - OTHER DISORDERS OF NERVOUS SYSTEM W MCC,85519.11,17931.16
092 - OTHER DISORDERS OF NERVOUS SYSTEM W CC,64337,4972.12
093 - OTHER DISORDERS OF NERVOUS SYSTEM W/O CC/MCC,39952.15,4710.66
094 - BACTERIAL & TUBERCULOUS INFECTIONS OF NERVOUS SYSTEM W MCC,235844.04,No Medicare Payment Available
095 - BACTERIAL & TUBERCULOUS INFECTIONS OF NERVOUS SYSTEM W CC,237860.38,No Medicare Payment Available
096 - BACTERIAL & TUBERCULOUS INFECTIONS OF NERVOUS SYSTEM W/O CC/MCC,74726.7,No Medicare Payment Available
097 - NON-BACTERIAL INFECT OF NERVOUS SYS EXC VIRAL MENINGITIS W MCC,251543.72,No Medicare Payment Available
098 - NON-BACTERIAL INFECT OF NERVOUS SYS EXC VIRAL MENINGITIS W CC,54661.14,11425.99
100 - SEIZURES W MCC,76495.45,12841.09
101 - SEIZURES W/O MCC,38436.19,4889.05
102 - HEADACHES W MCC,25323.61,No Medicare Payment Available
103 - HEADACHES W/O MCC,40871.39,2359.16
123 - NEUROLOGICAL EYE DISORDERS,41665.34,No Medicare Payment Available
124 - OTHER DISORDERS OF THE EYE W MCC,89623.55,No Medicare Payment Available
133 - OTHER EAR; NOSE; MOUTH & THROAT O.R. PROCEDURES W CC/MCC,50876.02,No Medicare Payment Available
149 - DYSEQUILIBRIUM,45252.77,4472.67
150 - EPISTAXIS W MCC,27439.17,8367.95
152 - OTITIS MEDIA & URI W MCC,47904.92,6828.88
153 - OTITIS MEDIA & URI W/O MCC,38605.16,4996
154 - OTHER EAR; NOSE; MOUTH & THROAT DIAGNOSES W MCC,106168.67,9096.38
156 - OTHER EAR; NOSE; MOUTH & THROAT DIAGNOSES W/O CC/MCC,19637.35,No Medicare Payment Available
157 - DENTAL & ORAL DISEASES W MCC,85640.76,No Medicare Payment Available
158 - DENTAL & ORAL DISEASES W CC,27611.05,No Medicare Payment Available
159 - DENTAL & ORAL DISEASES W/O CC/MCC,23250.64,No Medicare Payment Available
163 - MAJOR CHEST PROCEDURES W MCC,197682.76,29614.18
164 - MAJOR CHEST PROCEDURES W CC,128258.67,No Medicare Payment Available
165 - MAJOR CHEST PROCEDURES W/O CC/MCC,72920.62,No Medicare Payment Available
166 - OTHER RESP SYSTEM O.R. PROCEDURES W MCC,240178.52,19780.26
167 - OTHER RESP SYSTEM O.R. PROCEDURES W CC,88538.98,10415.38
168 - OTHER RESP SYSTEM O.R. PROCEDURES W/O CC/MCC,59762.39,No Medicare Payment Available
175 - PULMONARY EMBOLISM W MCC,117655.1,8458.63
176 - PULMONARY EMBOLISM W/O MCC,54127.83,5957.55
177 - RESPIRATORY INFECTIONS & INFLAMMATIONS W MCC,94385.73,10660.14
