DRG_Long_Desc,Average_Charge_Per_Case,Average_Medicare_Payment_Per_Case
030 - SPINAL PROCEDURES W/O CC/MCC,55899.41,No Medicare Payment Available
042 - PERIPH/CRANIAL NERVE & OTHER NERV SYST PROC W/O CC/MCC,69648.18,No Medicare Payment Available
130 - MAJOR HEAD & NECK PROCEDURES W/O CC/MCC,38207.25,7758.13
455 - COMBINED ANTERIOR/POSTERIOR SPINAL FUSION W/O CC/MCC,109023.21,No Medicare Payment Available
460 - SPINAL FUSION EXCEPT CERVICAL W/O MCC,127500.23,No Medicare Payment Available
462 - BILATERAL OR MULTIPLE MAJOR JOINT PROCS OF LOWER EXTREMITY W/O MCC,106968.2,No Medicare Payment Available
463 - WND DEBRID & SKN GRFT EXC HAND; FOR MUSCULO-CONN TISS DIS W MCC,39586.91,No Medicare Payment Available
464 - WND DEBRID & SKN GRFT EXC HAND; FOR MUSCULO-CONN TISS DIS W CC,29992.49,No Medicare Payment Available
466 - REVISION OF HIP OR KNEE REPLACEMENT W MCC,90020.34,16188.84
468 - REVISION OF HIP OR KNEE REPLACEMENT W/O CC/MCC,91745.13,15174.05
469 - MAJ HIP AND KNEE JNT REPL OR REATTACH OF LW EXTREM W MCC OR TOT ANKLE REPL,79760,No Medicare Payment Available
470 - MAJOR HIP AND KNEE JOINT REPLACEMENT OR REATTACHMENT OF LOWER EXTREMITY W/O MCC,74748.23,11058.85
473 - CERVICAL SPINAL FUSION W/O CC/MCC,97603.65,12349.08
483 - MAJOR JOINT & LIMB REATTACHMENT PROC OF UPPER EXTREMITY W CC/MCC,84357,13016.08
489 - KNEE PROCEDURES W/O PDX OF INFECTION W/O CC/MCC,30128.14,No Medicare Payment Available
493 - LOWER EXTREM & HUMER PROC EXCEPT HIP;FOOT;FEMUR W CC,39648.67,No Medicare Payment Available
496 - LOCAL EXCISION & REMOVAL INT FIX DEVICES EXC HIP & FEMUR W CC,51836.23,No Medicare Payment Available
497 - LOCAL EXCISION & REMOVAL INT FIX DEVICES EXC HIP & FEMUR W/O CC/MCC,59039.7,7486.58
501 - SOFT TISSUE PROCEDURES W CC,23430.65,No Medicare Payment Available
514 - HAND OR WRIST PROC; EXCEPT MAJOR THUMB OR JOINT PROC W/O CC/MCC,16964.49,No Medicare Payment Available
516 - OTHER MUSCULOSKELET SYS & CONN TISS O.R. PROC W CC,27933.72,10146.6
517 - OTHER MUSCULOSKELET SYS & CONN TISS O.R. PROC W/O CC/MCC,29144.06,7500.38
519 - BACK & NECK PROC EXC SPINAL FUSION W CC,28839.16,No Medicare Payment Available
520 - BACK & NECK PROC EXC SPINAL FUSION W/O CC/MCC,73045.37,23195.98
559 - AFTERCARE; MUSCULOSKELETAL SYSTEM & CONNECTIVE TISSUE W MCC,53144.61,9067.41
560 - AFTERCARE; MUSCULOSKELETAL SYSTEM & CONNECTIVE TISSUE W CC,20259.9,5196.03
561 - AFTERCARE; MUSCULOSKELETAL SYSTEM & CONNECTIVE TISSUE W/O CC/MCC,9476.72,3147.99
603 - CELLULITIS W/O MCC,10612.57,3926.86
617 - AMPUTAT OF LOWER LIMB FOR ENDOCRINE;NUTRIT;& METABOL DIS W CC,33774.99,No Medicare Payment Available
629 - OTHER ENDOCRINE; NUTRIT & METAB O.R. PROC W CC,35769.44,No Medicare Payment Available
863 - POSTOPERATIVE & POST-TRAUMATIC INFECTIONS W/O MCC,14655.09,No Medicare Payment Available
902 - WOUND DEBRIDEMENTS FOR INJURIES W CC,30872.91,No Medicare Payment Available
908 - OTHER O.R. PROCEDURES FOR INJURIES W CC,70701.66,No Medicare Payment Available
