DRG_Long_Desc,Average_Charge_Per_Case,Average_Medicare_Payment_Per_Case
001 - HEART TRANSPLANT OR IMPLANT OF HEART ASSIST SYSTEM W MCC,83548.77,No Medicare Payment Available
003 - ECMO OR TRACH W MV >96 HRS OR PDX EXC FACE; MOUTH & NECK W MAJ O.R.,763917.28,97046.47
004 - TRACH W MV >96 HRS OR PDX EXC FACE; MOUTH & NECK W/O MAJ O.R.,424434.89,53809.56
039 - EXTRACRANIAL PROCEDURES W/O CC/MCC,40561.35,7189.14
040 - PERIPH/CRANIAL NERVE & OTHER NERV SYST PROC W MCC,246561.34,44937.28
041 - PERIPH/CRANIAL NERVE & OTHER NERV SYST PROC W CC OR PERIPH NEUROSTIM,85206.9,9653.19
052 - SPINAL DISORDERS & INJURIES W CC/MCC,133136.12,No Medicare Payment Available
053 - SPINAL DISORDERS & INJURIES W/O CC/MCC,104962.99,No Medicare Payment Available
056 - DEGENERATIVE NERVOUS SYSTEM DISORDERS W MCC,103142.61,24405.8
057 - DEGENERATIVE NERVOUS SYSTEM DISORDERS W/O MCC,83908.49,22333.03
058 - MULTIPLE SCLEROSIS & CEREBELLAR ATAXIA W MCC,39531.58,No Medicare Payment Available
064 - INTRACRANIAL HEMORRHAGE OR CEREBRAL INFARCTION W MCC,83462.49,No Medicare Payment Available
065 - INTRACRANIAL HEMORRHAGE OR CEREBRAL INFARCTION W CC,50002.75,6540.97
066 - INTRACRANIAL HEMORRHAGE OR CEREBRAL INFARCTION W/O CC/MCC,24144.07,2864.14
068 - NONSPECIFIC CVA & PRECEREBRAL OCCLUSION W/O INFARCT W/O MCC,21263.81,6168
069 - TRANSIENT ISCHEMIA W/O THROMBOLYTIC,37923.26,5192.91
070 - NONSPECIFIC CEREBROVASCULAR DISORDERS W MCC,134718.63,23317.37
071 - NONSPECIFIC CEREBROVASCULAR DISORDERS W CC,43677.12,6422.89
073 - CRANIAL & PERIPHERAL NERVE DISORDERS W MCC,97317.51,No Medicare Payment Available
074 - CRANIAL & PERIPHERAL NERVE DISORDERS W/O MCC,38417.17,12794.4
075 - VIRAL MENINGITIS W CC/MCC,63373.47,No Medicare Payment Available
076 - VIRAL MENINGITIS W/O CC/MCC,27078.49,No Medicare Payment Available
077 - HYPERTENSIVE ENCEPHALOPATHY W MCC,37486.08,9723.58
078 - HYPERTENSIVE ENCEPHALOPATHY W CC,55719.61,No Medicare Payment Available
080 - NONTRAUMATIC STUPOR & COMA W MCC,79572.52,No Medicare Payment Available
081 - NONTRAUMATIC STUPOR & COMA W/O MCC,19180,No Medicare Payment Available
091 - OTHER DISORDERS OF NERVOUS SYSTEM W MCC,94533.21,19658.13
092 - OTHER DISORDERS OF NERVOUS SYSTEM W CC,62430.59,15117.06
093 - OTHER DISORDERS OF NERVOUS SYSTEM W/O CC/MCC,65538.71,20745.12
094 - BACTERIAL & TUBERCULOUS INFECTIONS OF NERVOUS SYSTEM W MCC,84456.14,26072.52
097 - NON-BACTERIAL INFECT OF NERVOUS SYS EXC VIRAL MENINGITIS W MCC,159418.18,27256.6
100 - SEIZURES W MCC,71019.07,No Medicare Payment Available
101 - SEIZURES W/O MCC,39490.02,4261.03
103 - HEADACHES W/O MCC,49705.52,No Medicare Payment Available
134 - OTHER EAR; NOSE; MOUTH & THROAT O.R. PROCEDURES W/O CC/MCC,27298.22,No Medicare Payment Available
149 - DYSEQUILIBRIUM,52069.07,4899.11
152 - OTITIS MEDIA & URI W MCC,58789.37,6833.56
153 - OTITIS MEDIA & URI W/O MCC,28631.86,4290.05
154 - OTHER EAR; NOSE; MOUTH & THROAT DIAGNOSES W MCC,37335.83,No Medicare Payment Available
155 - OTHER EAR; NOSE; MOUTH & THROAT DIAGNOSES W CC,24236.11,820.5
158 - DENTAL & ORAL DISEASES W CC,49608.37,5929.76
163 - MAJOR CHEST PROCEDURES W MCC,253654.32,28609.44
164 - MAJOR CHEST PROCEDURES W CC,97857.2,15394.76
165 - MAJOR CHEST PROCEDURES W/O CC/MCC,79000.4,11310.64
166 - OTHER RESP SYSTEM O.R. PROCEDURES W MCC,194118.01,20375.03
167 - OTHER RESP SYSTEM O.R. PROCEDURES W CC,91011.01,11208.54
168 - OTHER RESP SYSTEM O.R. PROCEDURES W/O CC/MCC,31866.83,8175
175 - PULMONARY EMBOLISM W MCC,61009.13,No Medicare Payment Available
176 - PULMONARY EMBOLISM W/O MCC,55580.15,7755.26
177 - RESPIRATORY INFECTIONS & INFLAMMATIONS W MCC,69371.14,7735.02
178 - RESPIRATORY INFECTIONS & INFLAMMATIONS W CC,38715.77,7242.73
179 - RESPIRATORY INFECTIONS & INFLAMMATIONS W/O CC/MCC,30214.38,No Medicare Payment Available
180 - RESPIRATORY NEOPLASMS W MCC,113930.97,10393.7
181 - RESPIRATORY NEOPLASMS W CC,61769.75,7411.25
184 - MAJOR CHEST TRAUMA W CC,19975.73,No Medicare Payment Available
186 - PLEURAL EFFUSION W MCC,54810.69,9471.65
187 - PLEURAL EFFUSION W CC,62559.38,6203.99
188 - PLEURAL EFFUSION W/O CC/MCC,46971.64,4855.04
189 - PULMONARY EDEMA & RESPIRATORY FAILURE,64508.56,7236.07
190 - CHRONIC OBSTRUCTIVE PULMONARY DISEASE W MCC,59024.79,8628.74
191 - CHRONIC OBSTRUCTIVE PULMONARY DISEASE W CC,52309.5,5905.63
192 - CHRONIC OBSTRUCTIVE PULMONARY DISEASE W/O CC/MCC,37516.63,5028.81
193 - SIMPLE PNEUMONIA & PLEURISY W MCC,58477.19,8104.03
194 - SIMPLE PNEUMONIA & PLEURISY W CC,41526.43,5044.13
195 - SIMPLE PNEUMONIA & PLEURISY W/O CC/MCC,30760.2,4486.57
196 - INTERSTITIAL LUNG DISEASE W MCC,83197.32,13489.2
197 - INTERSTITIAL LUNG DISEASE W CC,68827.21,10311.06
198 - INTERSTITIAL LUNG DISEASE W/O CC/MCC,40388.61,5341.83
199 - PNEUMOTHORAX W MCC,124329.1,9760.55
200 - PNEUMOTHORAX W CC,42490.21,No Medicare Payment Available
201 - PNEUMOTHORAX W/O CC/MCC,39506.66,No Medicare Payment Available
202 - BRONCHITIS & ASTHMA W CC/MCC,45931.57,4380.09
203 - BRONCHITIS & ASTHMA W/O CC/MCC,41144.12,4404.35
204 - RESPIRATORY SIGNS & SYMPTOMS,49123.54,5097.68
205 - OTHER RESPIRATORY SYSTEM DIAGNOSES W MCC,127497.94,11061.57
206 - OTHER RESPIRATORY SYSTEM DIAGNOSES W/O MCC,34887.55,5727.74
207 - RESPIRATORY SYSTEM DIAGNOSIS W VENTILATOR SUPPORT >96 HOURS,258074.86,26436.51
208 - RESPIRATORY SYSTEM DIAGNOSIS W VENTILATOR SUPPORT <=96 HOURS,127363.02,13430.03
215 - OTHER HEART ASSIST SYSTEM IMPLANT,443156.24,72675.76
216 - CARDIAC VALVE & OTH MAJ CARDIOTHORACIC PROC W CARD CATH W MCC,399390.15,43770.5
217 - CARDIAC VALVE & OTH MAJ CARDIOTHORACIC PROC W CARD CATH W CC,364204.77,39480.1
219 - CARDIAC VALVE & OTH MAJ CARDIOTHORACIC PROC W/O CARD CATH W MCC,337016.87,42715.83
220 - CARDIAC VALVE & OTH MAJ CARDIOTHORACIC PROC W/O CARD CATH W CC,242954.48,30377.15
221 - CARDIAC VALVE & OTH MAJ CARDIOTHORACIC PROC W/O CARD CATH W/O CC/MCC,278202.93,27118.31
222 - CARDIAC DEFIB IMPLANT W CARDIAC CATH W AMI/HF/SHOCK W MCC,372928.42,48028.34
223 - CARDIAC DEFIB IMPLANT W CARDIAC CATH W AMI/HF/SHOCK W/O MCC,237199.84,36972.95
