charge_code	price	description	hospital_id	filename	charge_type
	9.54	1/2 NORMAL SALINE WITH 20MEQ K	mount-sinai-health-system-–-beth-israel	Chargemaster_MSL.xlsx	standard
	3.41	1/2NS  1000ML	mount-sinai-health-system-–-beth-israel	Chargemaster_MSL.xlsx	standard
	787.5	12X12IN SINGLE CONTACT LAYER	mount-sinai-health-system-–-beth-israel	Chargemaster_MSL.xlsx	standard
	850.0	1ST ORD ARTER THOR/BRACHCEPH	mount-sinai-health-system-–-beth-israel	Chargemaster_MSL.xlsx	standard
	2600.0	1ST ORD ARTER THOR/BRACHCEPH	mount-sinai-health-system-–-beth-israel	Chargemaster_MSL.xlsx	standard
	2800.0	2ND ORD ARTER THOR/BRACHCEPH	mount-sinai-health-system-–-beth-israel	Chargemaster_MSL.xlsx	standard
	4800.0	3D MAPPING	mount-sinai-health-system-–-beth-israel	Chargemaster_MSL.xlsx	standard
	1200.0	3D RENDERING W/POSTPROCESS	mount-sinai-health-system-–-beth-israel	Chargemaster_MSL.xlsx	standard
	5000.0	3RD ORD ART ABD/PEL/L EXTREM	mount-sinai-health-system-–-beth-israel	Chargemaster_MSL.xlsx	standard
	3100.0	3RD ORD ARTER THOR/BRACHCEPH	mount-sinai-health-system-–-beth-israel	Chargemaster_MSL.xlsx	standard
	25.0	5 HYDROXYINDOLACETIC ACID	mount-sinai-health-system-–-beth-israel	Chargemaster_MSL.xlsx	standard
	9.3	A+D OINTMENT 4 OZ	mount-sinai-health-system-–-beth-israel	Chargemaster_MSL.xlsx	standard
	190.0	AB ELUTION EA ELUTION	mount-sinai-health-system-–-beth-israel	Chargemaster_MSL.xlsx	standard
	30.0	AB ID LEUKOCYTE	mount-sinai-health-system-–-beth-israel	Chargemaster_MSL.xlsx	standard
	31.0	AB ID PLATELET	mount-sinai-health-system-–-beth-israel	Chargemaster_MSL.xlsx	standard
	250.0	AB SCREEN RBC EA SERUM	mount-sinai-health-system-–-beth-israel	Chargemaster_MSL.xlsx	standard
	354.03	ABACA/DOLUT/LAMIVU TRIUMEQ TAB	mount-sinai-health-system-–-beth-israel	Chargemaster_MSL.xlsx	standard
	1.99	ABACAVIR SULFATE 20MG/ML SOL	mount-sinai-health-system-–-beth-israel	Chargemaster_MSL.xlsx	standard
	6.94	ABACAVIR SULFATE 300MG TAB	mount-sinai-health-system-–-beth-israel	Chargemaster_MSL.xlsx	standard
	6.94	ABACAVIR TAB 300 MG	mount-sinai-health-system-–-beth-israel	Chargemaster_MSL.xlsx	standard
	15.63	ABACAVIR/LAMIV 600/300MG TAB	mount-sinai-health-system-–-beth-israel	Chargemaster_MSL.xlsx	standard
	15.63	ABACAVIR/LAMIVUD 600/300MG TAB	mount-sinai-health-system-–-beth-israel	Chargemaster_MSL.xlsx	standard
	6.3	ABBOTT INTRODUCER	mount-sinai-health-system-–-beth-israel	Chargemaster_MSL.xlsx	standard
