charge_code	price	description	hospital_id	filename	charge_type
	2596.00	3-d radiotherapy plan	orlando-health	orlando-health.csv	standard
	918.00	3d render w/intrp postproces	orlando-health	orlando-health.csv	standard
	614.00	3d render w/intrp postproces	orlando-health	orlando-health.csv	standard
	2661.00	Abd paracentesis	orlando-health	orlando-health.csv	standard
	3380.00	Abd paracentesis w/imaging	orlando-health	orlando-health.csv	standard
	7247.00	Abdomen surgery procedure	orlando-health	orlando-health.csv	standard
	93367.00	Ablate arrhythmia add on	orlando-health	orlando-health.csv	standard
	22168.00	Ablate bone tumor(s) perq	orlando-health	orlando-health.csv	standard
	30688.00	Ablate bone tumor(s) perq	orlando-health	orlando-health.csv	standard
	6997.00	Ablate heart dysrhythm focus	orlando-health	orlando-health.csv	standard
	24709.00	Ablate pulm tumor perq crybl	orlando-health	orlando-health.csv	standard
	24709.00	Ablate pulm tumor perq rf	orlando-health	orlando-health.csv	standard
	3465.00	Abortion	orlando-health	orlando-health.csv	standard
	2249.00	Abscess drainage under x-ray	orlando-health	orlando-health.csv	standard
	5661.00	Abscess imaging ltd area	orlando-health	orlando-health.csv	standard
	9202.00	Abscess imaging whole body	orlando-health	orlando-health.csv	standard
	759.00	Acne surgery	orlando-health	orlando-health.csv	standard
	171.00	Acoustic immitance testing	orlando-health	orlando-health.csv	standard
	171.00	Acoustic refl threshold tst	orlando-health	orlando-health.csv	standard
	4012.00	Acute gi blood loss imaging	orlando-health	orlando-health.csv	standard
	39.67	Acute hepatitis panel	orlando-health	orlando-health.csv	standard
	420.00	ACUTE HEPATITIS PANEL	orlando-health	orlando-health.csv	standard
	87673.00	ACUTE TO/MI ART/DES/PTCA 1V-LC	orlando-health	orlando-health.csv	standard
	87673.00	ACUTE TO/MI ART/DES/PTCA 1V-LD	orlando-health	orlando-health.csv	standard
	87673.00	ACUTE TO/MI ART/DES/PTCA 1V-LM	orlando-health	orlando-health.csv	standard
	87673.00	ACUTE TO/MI ART/DES/PTCA 1V-RC	orlando-health	orlando-health.csv	standard
