,CODE,NAME,LAKELAND,LAKELAND INPATIENT LABS,LAKELAND OUTPATIENT LABS,LAKELAND BLOOD BANK,LAKELAND REFERENCE LAB,LAKELAND RESPIRATORY THERAPY LAB,WATERVLIET,WATERVLIET INPATIENT LABS,WATERVLIET OUTPATIENT LABS,WATERVLIET BLOOD BANK
,HC1180001,HC REHAB ROOM,,,,,,,"$1,812.00 ",,,
,HC1200002,HC SEMI-PVT OB,"$1,603.00 ",,,,,,,,,
,HC1200004,HC TELEMETRY ROOM CHARGE,"$1,703.00 ",,,,,,,,,
,HC1210001,HC MED/SURG/GYN ROOM,"$1,625.00 ",,,,,,"$1,625.00 ",,,
,HC1240001,HC PSYCH ROOM,"$1,640.00 ",,,,,,,,,
,HC1270001,HC ONCOLOGY ROOM,"$1,625.00 ",,,,,,,,,
,HC1640001,HC EBOLA ROOM,"$22,260.00 ",,,,,,,,,
,HC1700001,HC NURSERY ROOM,"$1,151.00 ",,,,,,,,,
,HC1720001,HC NURSERY IC ROOM,"$1,344.00 ",,,,,,,,,
,HC1800001,HC LEAVE OF ABSENCE,$1.00 ,,,,,,,,,
,HC2060002,HC PCU SEMI-PRIVATE ROOM,"$4,163.00 ",,,,,,,,,
,HC2100001,HC CRITICAL CARE/ICU,"$5,004.00 ",,,,,,,,,
,HC2300001,HC RN MAT TRANS CHARGE-MIN,$2.30 ,,,,,,,,,
*,HC2500001,HC RX 250 W/HCPCS, $-   ,,,,,, $-   ,,,
*,HC2500002,HC RX 250 W/O HCPCS, $-   ,,,,,, $-   ,,,
,HC2500005,HC SALINE FLUSH,$5.00 ,,,,,,,,,
*,HC2510001,HC RX 251, $-   ,,,,,, $-   ,,,
*,HC2540001,HC RX 254 NON CHARGE ITEMS, $-   ,,,,,, $-   ,,,
*,HC2550001,HC CONTRAST - CT, $-   ,,,,,, $-   ,,,
*,HC2550002,HC CONTRAST - XRAY, $-   ,,,,,, $-   ,,,
*,HC2550003,HC CONTRAST -  RAD ONC, $-   ,,,,,, $-   ,,,
*,HC2550004,HC CONTRAST - CVL, $-   ,,,,,, $-   ,,,
*,HC2550005,HC CONTRAST - MRI, $-   ,,,,,, $-   ,,,
*,HC2550006,HC CONTRAST - SURGERY, $-   ,,,,,, $-   ,,,
,HC2560001,HC FECAL TRANSPLANT STUDY OR PLACEBO ENEMA,$485.00 ,,,,,,,,,
*,HC2560001,HC RX 251 DR, $-   ,,,,,, $-   ,,,
*,HC2580001,HC RX 258, $-   ,,,,,, $-   ,,,
*,HC2580001,HC RX 258, $-   ,,,,,, $-   ,,,
*,HC2580003,HC RX 258 W/O HCPCS, $-   ,,,,,, $-   ,,,
*,HC2580003,HC RX 258 W/O HCPCS, $-   ,,,,,, $-   ,,,
,HC2600001,HC IV INF HYDRATION-1ST HOUR,$247.00 ,,,,,,,,,
,HC2600002,HC IV INF HYDRATION-ADDL HRS,$42.00 ,,,,,,$102.80 ,,,
,HC2600003,HC IV INF TX/DX-1ST HR,$247.10 ,,,,,,$334.10 ,,,
,HC2600004,HC IV INF TX/DX-ADDL HRS,$83.70 ,,,,,,$83.70 ,,,
,HC2600005,HC IV ADMIN-SEQ MED NEW DRUG/SUB ADD HOUR,$105.00 ,,,,,,$105.00 ,,,
,HC2600006,HC IV ADMIN-CONCURRENT,$78.30 ,,,,,,$78.30 ,,,
,HC2600007,HC INJECTION SQ/IM,$100.10 ,,,,,,$100.10 ,,,
,HC2600008,HC IV PUSH INITIAL,$126.00 ,,,,,,$247.50 ,,,
,HC2600009,HC IV PUSH EACH ADDL NEW DRUG,$99.50 ,,,,,,$139.40 ,,,
,HC2600010,HC IV PUSH SEQ SAME DRUG,$99.50 ,,,,,,$99.50 ,,,
,HC2600011,HC REFILL/MAIN PORTABLE PUMP,$246.80 ,,,,,,$246.80 ,,,
,HC2600012,HC IRRIG IMP VENOUS DEVICE,$122.00 ,,,,,,$122.00 ,,,
