DRG_Long_Desc,Average_Charge_Per_Case,Average_Medicare_Payment_Per_Case
003 - ECMO OR TRACH W MV >96 HRS OR PDX EXC FACE; MOUTH & NECK W MAJ O.R.,1735801.59,134108.62
004 - TRACH W MV >96 HRS OR PDX EXC FACE; MOUTH & NECK W/O MAJ O.R.,1102072.3,78638.29
011 - TRACHEOSTOMY FOR FACE;MOUTH & NECK DIAGNOSES W MCC,315883.05,No Medicare Payment Available
012 - TRACHEOSTOMY FOR FACE;MOUTH & NECK DIAGNOSES W CC,151333.05,No Medicare Payment Available
020 - INTRACRANIAL VASCULAR PROCEDURES W PDX HEMORRHAGE W MCC,1028633.24,82429.07
021 - INTRACRANIAL VASCULAR PROCEDURES W PDX HEMORRHAGE W CC,680564.85,55902.07
023 - CRANIO W MAJOR DEV IMPL/ACUTE CNS PDX W MCC OR CHEMO IMPL OR EPILEPSY W NEUROSTM,437659.57,40258.87
024 - CRANIO W MAJOR DEV IMPL/ACUTE COMPLEX CNS PDX W/O MCC,260888.66,37461.4
025 - CRANIOTOMY & ENDOVASCULAR INTRACRANIAL PROCEDURES W MCC,367340.08,32565.94
026 - CRANIOTOMY & ENDOVASCULAR INTRACRANIAL PROCEDURES W CC,275251.57,24528
027 - CRANIOTOMY & ENDOVASCULAR INTRACRANIAL PROCEDURES W/O CC/MCC,199859.93,18171.68
028 - SPINAL PROCEDURES W MCC,475725.55,41551.4
029 - SPINAL PROCEDURES W CC OR SPINAL NEUROSTIMULATORS,308564.58,27240.65
030 - SPINAL PROCEDURES W/O CC/MCC,98302.69,16633.61
031 - VENTRICULAR SHUNT PROCEDURES W MCC,659387.85,No Medicare Payment Available
032 - VENTRICULAR SHUNT PROCEDURES W CC,120454.95,11066.65
033 - VENTRICULAR SHUNT PROCEDURES W/O CC/MCC,105514.03,13450.18
034 - CAROTID ARTERY STENT PROCEDURE W MCC,226468.69,13898.81
036 - CAROTID ARTERY STENT PROCEDURE W/O CC/MCC,165762.35,14138.57
037 - EXTRACRANIAL PROCEDURES W MCC,223633.95,23472.41
038 - EXTRACRANIAL PROCEDURES W CC,203120.86,11841.55
