charge_code	price	description	hospital_id	filename	charge_type
1	1128868	HEART TRANSPLANT OR IMPLANT OF HEART ASSIST SYSTEM W MCC	thomas-jefferson-university-hospital	TJUH_Price_Transparency_MS-DRGs_12.21.2018.csv	drg
2	519296	HEART TRANSPLANT OR IMPLANT OF HEART ASSIST SYSTEM W/O MCC	thomas-jefferson-university-hospital	TJUH_Price_Transparency_MS-DRGs_12.21.2018.csv	drg
3	654727	ECMO OR TRACH W MV >96 HRS OR PDX EXC FACE MOUTH  NECK W MAJ O.R.	thomas-jefferson-university-hospital	TJUH_Price_Transparency_MS-DRGs_12.21.2018.csv	drg
4	374172	TRACH W MV >96 HRS OR PDX EXC FACE MOUTH  NECK W/O MAJ O.R.	thomas-jefferson-university-hospital	TJUH_Price_Transparency_MS-DRGs_12.21.2018.csv	drg
5	662951	LIVER TRANSPLANT W MCC OR INTESTINAL TRANSPLANT	thomas-jefferson-university-hospital	TJUH_Price_Transparency_MS-DRGs_12.21.2018.csv	drg
6	344142	LIVER TRANSPLANT W/O MCC	thomas-jefferson-university-hospital	TJUH_Price_Transparency_MS-DRGs_12.21.2018.csv	drg
8	418592	SIMULTANEOUS PANCREAS/KIDNEY TRANSPLANT	thomas-jefferson-university-hospital	TJUH_Price_Transparency_MS-DRGs_12.21.2018.csv	drg
10	345903	PANCREAS TRANSPLANT	thomas-jefferson-university-hospital	TJUH_Price_Transparency_MS-DRGs_12.21.2018.csv	drg
11	312144	TRACHEOSTOMY FOR FACE MOUTH  NECK DIAGNOSES OR LARYNGECTOMY W MCC	thomas-jefferson-university-hospital	TJUH_Price_Transparency_MS-DRGs_12.21.2018.csv	drg
12	217843	TRACHEOSTOMY FOR FACE MOUTH  NECK DIAGNOSES OR LARYNGECTOMY W CC	thomas-jefferson-university-hospital	TJUH_Price_Transparency_MS-DRGs_12.21.2018.csv	drg
13	144609	TRACHEOSTOMY FOR FACE MOUTH  NECK DIAGNOSES OR LARYNGECTOMY W/O CC/MCC	thomas-jefferson-university-hospital	TJUH_Price_Transparency_MS-DRGs_12.21.2018.csv	drg
14	698151	ALLOGENEIC BONE MARROW TRANSPLANT	thomas-jefferson-university-hospital	TJUH_Price_Transparency_MS-DRGs_12.21.2018.csv	drg
16	313071	AUTOLOGOUS BONE MARROW TRANSPLANT  W CC/MCC OR T-CELL IMMUNOTHERAPY	thomas-jefferson-university-hospital	TJUH_Price_Transparency_MS-DRGs_12.21.2018.csv	drg
20	429602	INTRACRANIAL VASCULAR PROCEDURES W PDX HEMORRHAGE W MCC	thomas-jefferson-university-hospital	TJUH_Price_Transparency_MS-DRGs_12.21.2018.csv	drg
21	241033	INTRACRANIAL VASCULAR PROCEDURES W PDX HEMORRHAGE W CC	thomas-jefferson-university-hospital	TJUH_Price_Transparency_MS-DRGs_12.21.2018.csv	drg
22	218280	INTRACRANIAL VASCULAR PROCEDURES W PDX HEMORRHAGE W/O CC/MCC	thomas-jefferson-university-hospital	TJUH_Price_Transparency_MS-DRGs_12.21.2018.csv	drg
23	229971	CRANIOTOMY W MAJOR DEVICE IMPLANT OR ACUTE COMPLEX CNS PDX W MCC OR CHEMOTHERAPY IMPLANT OR EPILEPSY W NEUROSTIMULATOR	thomas-jefferson-university-hospital	TJUH_Price_Transparency_MS-DRGs_12.21.2018.csv	drg
24	162892	CRANIO W MAJOR DEV IMPL/ACUTE COMPLEX CNS PDX W/O MCC	thomas-jefferson-university-hospital	TJUH_Price_Transparency_MS-DRGs_12.21.2018.csv	drg
25	196988	CRANIOTOMY  ENDOVASCULAR INTRACRANIAL PROCEDURES W MCC	thomas-jefferson-university-hospital	TJUH_Price_Transparency_MS-DRGs_12.21.2018.csv	drg
26	151409	CRANIOTOMY  ENDOVASCULAR INTRACRANIAL PROCEDURES W CC	thomas-jefferson-university-hospital	TJUH_Price_Transparency_MS-DRGs_12.21.2018.csv	drg
27	123470	CRANIOTOMY  ENDOVASCULAR INTRACRANIAL PROCEDURES W/O CC/MCC	thomas-jefferson-university-hospital	TJUH_Price_Transparency_MS-DRGs_12.21.2018.csv	drg
28	244341	SPINAL PROCEDURES W MCC	thomas-jefferson-university-hospital	TJUH_Price_Transparency_MS-DRGs_12.21.2018.csv	drg
29	161894	SPINAL PROCEDURES W CC OR SPINAL NEUROSTIMULATORS	thomas-jefferson-university-hospital	TJUH_Price_Transparency_MS-DRGs_12.21.2018.csv	drg
30	109262	SPINAL PROCEDURES W/O CC/MCC	thomas-jefferson-university-hospital	TJUH_Price_Transparency_MS-DRGs_12.21.2018.csv	drg
31	173296	VENTRICULAR SHUNT PROCEDURES W MCC	thomas-jefferson-university-hospital	TJUH_Price_Transparency_MS-DRGs_12.21.2018.csv	drg
32	121394	VENTRICULAR SHUNT PROCEDURES W CC	thomas-jefferson-university-hospital	TJUH_Price_Transparency_MS-DRGs_12.21.2018.csv	drg
33	79425	VENTRICULAR SHUNT PROCEDURES W/O CC/MCC	thomas-jefferson-university-hospital	TJUH_Price_Transparency_MS-DRGs_12.21.2018.csv	drg
34	97760	CAROTID ARTERY STENT PROCEDURE W MCC	thomas-jefferson-university-hospital	TJUH_Price_Transparency_MS-DRGs_12.21.2018.csv	drg
35	111690	CAROTID ARTERY STENT PROCEDURE W CC	thomas-jefferson-university-hospital	TJUH_Price_Transparency_MS-DRGs_12.21.2018.csv	drg
36	81441	CAROTID ARTERY STENT PROCEDURE W/O CC/MCC	thomas-jefferson-university-hospital	TJUH_Price_Transparency_MS-DRGs_12.21.2018.csv	drg
37	180372	EXTRACRANIAL PROCEDURES W MCC	thomas-jefferson-university-hospital	TJUH_Price_Transparency_MS-DRGs_12.21.2018.csv	drg
38	111148	EXTRACRANIAL PROCEDURES W CC	thomas-jefferson-university-hospital	TJUH_Price_Transparency_MS-DRGs_12.21.2018.csv	drg
39	58703	EXTRACRANIAL PROCEDURES W/O CC/MCC	thomas-jefferson-university-hospital	TJUH_Price_Transparency_MS-DRGs_12.21.2018.csv	drg
40	187797	PERIPH/CRANIAL NERVE  OTHER NERV SYST PROC W MCC	thomas-jefferson-university-hospital	TJUH_Price_Transparency_MS-DRGs_12.21.2018.csv	drg
41	100078	PERIPH/CRANIAL NERVE  OTHER NERV SYST PROC W CC OR PERIPH NEUROSTIM	thomas-jefferson-university-hospital	TJUH_Price_Transparency_MS-DRGs_12.21.2018.csv	drg
42	88303	PERIPH/CRANIAL NERVE  OTHER NERV SYST PROC W/O CC/MCC	thomas-jefferson-university-hospital	TJUH_Price_Transparency_MS-DRGs_12.21.2018.csv	drg
