H,ID,Facility                        ,Procedure ,Description                   ,Department     ,Chg Cat ,CPT-4 Eff Date,CPT-4 ,HCPC Eff Date,HCPC   ,Std Chg Eff Date,Std Chg
D,IU,AVON,10600050,INTERRUPTED STAY ROOM         ,86424088106,180,              ,      ,             ,       ,1/1/2017,1929.2
D,IU,AVON,10600400,INTERMEDIATE REHAB PRIVATE    ,86424088106,118,              ,      ,             ,       ,2/1/2017,1929.2
D,IU,AVON,10600450,INTERMEDIATE REHAB SEMI-PRIV  ,86424088106,128,              ,      ,             ,       ,2/1/2017,1929.2
D,IU,AVON,10600460,3/4 BED REHAB SEMI-PRIVATE    ,86424088106,138,              ,      ,             ,       ,2/1/2017,1929.2
D,IU,AVON,10600470,DELUXE REHAB PRIVATE          ,86424088106,148,              ,      ,             ,       ,2/1/2017,1929.2
D,IU,AVON,10600480,WARD REHAB SEMI-PRIVATE       ,86424088106,158,              ,      ,             ,       ,2/1/2017,1929.2
D,IU,AVON,11000050,HOSPITAL HOLD                 ,86424088110,180,              ,      ,             ,       ,1/1/2017,1929.2
D,IU,AVON,11600110,CENTRAL LINE INSERTION        ,86424088116,360,12/1/2016,36569,             ,       ,8/1/2017,2231.85
D,IU,AVON,33124457,"CONTROL, ACCU-CHEK, INFORM II ",86424088331,270,              ,      ,             ,       ,6/1/2017,1.95
D,IU,AVON,33125001,STRAIGHT CATH 14 FR RED RUBBER,86424088331,270,              ,      ,             ,       ,2/1/2017,2.55
D,IU,AVON,33125002,FOLEY CATHETER INSERTION KIT  ,86424088331,270,              ,      ,             ,       ,2/1/2017,9.33
D,IU,AVON,33125003,CATH FOLEY 18FR 5CC BALLOON BA,86424088331,270,              ,      ,             ,       ,2/1/2017,34.75
D,IU,AVON,33125004,CATH FOLEY 16FR 5CC BALLOON BA,86424088331,270,              ,      ,             ,       ,2/1/2017,34.75
D,IU,AVON,33125005,FOLEY CATH TRAY W/16FR CATH BA,86424088331,270,              ,      ,             ,       ,2/1/2017,30.8
D,IU,AVON,33125006,SET INTERLINK MICROBORE EXT   ,86424088331,270,              ,      ,             ,       ,2/1/2017,10.15
D,IU,AVON,33125007,SET IV ADMIN SECONDARY UNIVERS,86424088331,270,              ,      ,             ,       ,2/1/2017,4
D,IU,AVON,33125008,SET GRAVITY 2Y                ,86424088331,270,              ,      ,             ,       ,1/1/2018,8.28
D,IU,AVON,33125009,SET EXT HEPARIN LOCK W/SMRTSIT,86424088331,270,              ,      ,             ,       ,2/1/2017,9.4
D,IU,AVON,33125011,STERI STRIP CLOSURES 1/2 X 4  ,86424088331,270,              ,      ,             ,       ,2/1/2017,2.7
D,IU,AVON,33125012,BAND ADH CURITY XL FABRIC 2X3 ,86424088331,270,              ,      ,             ,       ,2/1/2017,0.3
D,IU,AVON,33125013,TAPE SURGICAL MICROPORE 2 X 10,86424088331,270,              ,      ,             ,       ,2/1/2017,1.9
D,IU,AVON,33125014,TAPE SURGICAL DURAPORE 2 X 10Y,86424088331,270,              ,      ,             ,       ,2/1/2017,3.25
D,IU,AVON,33125015,TELFA PAD NON-ADH STERILE 2X3 ,86424088331,270,              ,      ,             ,       ,2/1/2017,0.25
D,IU,AVON,33125016,SPNGE EXCILON DRAIN 4X4 6PLY  ,86424088331,270,              ,      ,             ,       ,2/1/2017,1.1
D,IU,AVON,33125017,SPNGES CURITY GAUZE 8PLY 2X2  ,86424088331,270,              ,      ,             ,       ,2/1/2017,0.05
D,IU,AVON,33125018,BAND FLEXIBLE ADH BANDAGE 3/4 ,86424088331,270,              ,      ,             ,       ,2/1/2017,0.1
D,IU,AVON,33125019,DERMACEA LOW PLY GAUZE ROLL 4X,86424088331,270,              ,      ,             ,       ,1/1/2018,0.78
