"abacavir 300 mg tablet","J3490",$43.93
"abacavir 300 mg-lamivudine 150 mg-zidovudine 300 m",,$96.48
"abacavir 600 mg-lamivudine 300 mg tablet","J3490",$145.17
"abciximab 10 mg/5 mL intravenous solution","J0130",$5015.00
"acamprosate 333 mg tablet,delayed release","J3490",$18.59
"acarbose 50 mg tablet",,$16.84
"acetaminophen 1,000 mg/100 mL (10 mg/mL) intraveno","J0131",$203.35
"acetaminophen 120 mg rectal suppository","J3490",$1.73
"acetaminophen 120 mg-codeine 12 mg/5 mL (5 mL) ora","J3490",$23.85
"acetaminophen 120 mg-codeine 12 mg/5 mL oral solut",,$22.13
"acetaminophen 160 mg/5 mL (5 mL) oral solution","J3490",$3.43
"acetaminophen 160 mg/5 mL (5 mL) oral suspension","J3490",$2.25
"acetaminophen 160 mg/5 mL oral suspension","J3490",$7.71
"acetaminophen 300 mg-codeine 30 mg tablet","J3490",$22.80
"acetaminophen 325 mg rectal suppository",,$2.05
"acetaminophen 325 mg tablet","J3490",$1.07
"acetaminophen 650 mg rectal suppository","J3490",$1.85
"acetaminophen 650 mg/20.3 mL oral solution","J3490",$4.05
"acetaminophen 80 mg/0.8 mL oral drops","J3490",$22.35
"acetaZOLAMIDE 250 mg tablet","J3490",$26.47
"acetaZOLAMIDE 500 mg solution for injection","J1120",$182.00
"acetic acid (bulk) 3 % liquid","J3490",$64.00
"acetic acid (bulk) 5 % liquid","J3490",$65.50
"acetic acid 2 % ear solution",,$100.02
"acetylcysteine 200 mg/mL (20 %) intravenous soluti","J0132",$145.80
"acetylcysteine 200 mg/mL (20 %) solution","J3490",$44.78
"activated charcoal 25 gram/120 mL oral suspension",,$20.98
"activated charcoal-sorbitol 25 gram/120 mL oral su",,$33.94
"activated charcoal-sorbitol 50 gram/240 mL oral su","J3490",$61.00
"acyclovir 200 mg capsule","J3490",$16.88
"acyclovir 5 % topical cream","J3490",$2405.50
"acyclovir 5 % topical ointment","J3490",$973.11
"acyclovir sodium 50 mg/mL intravenous solution","J0133",$147.00
"adenosine (diagnostic) 3 mg/mL intravenous solutio","J0153",$655.00
"adenosine 3 mg/mL intravenous solution","J0153",$37.90
"ado-trastuzumab emtansine 100 mg intravenous solut","J9354",$12226.64
"ado-trastuzumab emtansine 160 mg intravenous solut","J9354",$19397.64
"albumin, human 25 % intravenous solution","P9047",$437.00
"albumin, human 5 % intravenous solution","P9041",$437.00
"albuterol sulfate 1.25 mg/3 mL solution for nebuli","J3490",$19.99
"albuterol sulfate 2 mg tablet",,$33.63
"albuterol sulfate 2 mg/5 mL syrup","J3490",$162.16
"albuterol sulfate 2.5 mg/3 mL (0.083 %) solution f","J3490",$16.60
"albuterol sulfate concentrate 2.5 mg/0.5 mL soluti","J3490",$17.14
"albuterol sulfate ER 4 mg tablet,extended release,",,$20.28
"albuterol sulfate HFA 90 mcg/actuation aerosol inh","J3490",$194.70
"alendronate 10 mg tablet",,$16.71
"alendronate 70 mg tablet",,$16.70
"aliskiren 150 mg tablet",,$27.42
"allopurinol 100 mg tablet","J3490",$17.24
"allopurinol 300 mg tablet","J3490",$18.21
"ALPRAZolam 0.25 mg tablet",,$22.17
"ALPRAZolam 1 mg tablet",,$16.09
"alteplase 100 mg intravenous solution","J2997",$35217.44
"alteplase 2 mg intra-catheter solution","J2997",$628.24
"aluminum hydroxide gel 320 mg/5 mL oral suspension","J3490",$5.97
"aluminum hydrox-magnesium carb 95 mg-358 mg/15 mL ","J3490",$16.45
"aluminum-mag hydroxide-simethicone 200 mg-200 mg-2","J3490",$2.73
"aluminum-mag hydroxide-simethicone 400 mg-400 mg-4","J3490",$2.85
"aluminum-magnesium hydroxide 200 mg-200 mg/5 mL or",,$4.29
"alvimopan 12 mg capsule","J3490",$488.11
"amantadine HCl 100 mg capsule","J3490",$24.24
"amikacin 1,000 mg/4 mL injection solution,amikacin","J0278",$114.05
"aMILoride 5 mg tablet","J3490",$18.17
"amino acid 5 % in 15 % dextrose intravenous soluti","J3490",$308.00
"amino acids 4.25 % with lytes and calcium in D5W i","J3490",$308.00
"amino acids 5 %-dextrose 15 %-electrolytes intrave","J3490",$312.00
"aminocaproic acid 250 mg/mL intravenous solution","J3490",$21.25
"aminocaproic acid 500 mg tablet",,$144.88
"aminophylline 250 mg/10 mL intravenous solution","J0280",$61.48
"aminophylline 500 mg/20 mL intravenous solution","J0280",$44.00
"amiodarone 150 mg/100 mL (1.5 mg/mL) in dextrose, ","J0282",$184.45
"amiodarone 200 mg tablet","J3490",$17.76
"amiodarone 360 mg/200 mL (1.8 mg/mL) in dextrose, ","J0282",$224.70
"amiodarone 50 mg/mL intravenous solution","J0282",$76.94
"amitriptyline 10 mg tablet","J3490",$16.43
"amitriptyline 25 mg tablet","J3490",$16.52
"amLODIPine 10 mg tablet","J3490",$16.19
"amLODIPine 2.5 mg tablet","J3490",$16.63
"amLODIPine 5 mg tablet","J3490",$16.26
"ammonia aromatic 15 % (w/v) solution for inhalatio",,$17.31
