"abacavir 300 mg tablet","J3490",$42.47
"abacavir 300 mg-lamivudine 150 mg-zidovudine 300 m",,$96.48
"abatacept (with maltose) 250 mg intravenous soluti","J0129",$4248.00
"abciximab 10 mg/5 mL intravenous solution","J0130",$5015.00
"acamprosate 333 mg tablet,delayed release","J3490",$19.29
"acarbose 50 mg tablet",,$16.84
"acetaminophen 1,000 mg/100 mL (10 mg/mL) intraveno","J0131",$203.35
"acetaminophen 1,000 mg/100 mL (10 mg/mL) IV","J0131",$223.40
"acetaminophen 120 mg rectal suppository","J3490",$1.73
"acetaminophen 120 mg-codeine 12 mg/5 mL (5 mL) ora","J3490",$23.86
"acetaminophen 120 mg-codeine 12 mg/5 mL oral solut",,$22.13
"acetaminophen 160 mg/5 mL oral liquid","J3490",$24.51
"acetaminophen 160 mg/5 mL oral suspension","J3490",$6.27
"acetaminophen 300 mg-codeine 30 mg tablet","J3490",$22.80
"acetaminophen 325 mg rectal suppository",,$2.05
"acetaminophen 325 mg tablet","J3490",$1.07
"acetaminophen 325 mg/10.15 mL oral solution","J3490",$21.45
"acetaminophen 500 mg tablet","J3490",$1.08
"acetaminophen 650 mg rectal suppository","J3490",$1.85
"acetaminophen ER 650 mg tablet,extended release",,$1.09
"acetaZOLAMIDE 250 mg tablet","J3490",$26.47
"acetaZOLAMIDE 500 mg solution for injection","J1120",$182.00
"acetylcholine chloride 1 % (10 mg/mL) intraocular ","J3490",$86.64
"acetylcysteine 200 mg/mL (20 %) intravenous soluti","J0132",$138.20
"acetylcysteine 200 mg/mL (20 %) solution","J3490",$44.78
"activated charcoal 50 gram/240 mL oral suspension","J3490",$61.00
"activated charcoal-sorbitol 50 gram/240 mL oral su","J3490",$61.00
"acyclovir 200 mg capsule","J3490",$16.41
"acyclovir 200 mg/5 mL oral suspension","J3490",$1084.51
"acyclovir 5 % topical cream","J3490",$2405.50
"acyclovir 5 % topical ointment","J3490",$973.11
"acyclovir 800 mg tablet","J3490",$18.03
"acyclovir sodium 50 mg/mL intravenous solution","J0133",$203.00
"adalimumab 40 mg/0.8 mL subcutaneous pen kit","J0135",$9760.06
"adefovir 10 mg tablet",,$105.50
"adenosine (diagnostic) 3 mg/mL intravenous solutio","J0153",$526.60
"adenosine 3 mg/mL intravenous solution","J0153",$37.90
"ado-trastuzumab emtansine 100 mg intravenous solut","J9354",$12824.22
"ado-trastuzumab emtansine 160 mg intravenous solut","J9354",$20353.77
"agalsidase beta 35 mg intravenous solution","J0180",$23639.00
"Al hyd-Mg tr-alg ac-sod bicarb 80 mg-14.2 mg chewa",,$1.19
"albumin, human 25 % intravenous solution","P9047",$797.00
"albumin, human 5 % intravenous solution","P9041",$729.00
"albuterol sulfate 1.25 mg/3 mL solution for nebuli","J3490",$19.99
"albuterol sulfate 2 mg/5 mL syrup","J3490",$162.16
"albuterol sulfate 2.5 mg/3 mL (0.083 %) solution f","J3490",$16.60
"albuterol sulfate concentrate 5 mg/mL(0.5 %) solut","J3490",$112.00
"albuterol sulfate HFA 90 mcg/actuation aerosol inh","J3490",$194.70
"allopurinol 100 mg tablet","J3490",$17.24
"allopurinol 300 mg tablet","J3490",$18.21
"ALPRAZolam 0.25 mg tablet",,$22.25
"ALPRAZolam 0.5 mg tablet","J3490",$22.19
"ALPRAZolam 1 mg tablet",,$16.04
"alteplase 100 mg intravenous solution","J2997",$35217.44
"alteplase 2 mg intra-catheter solution","J2997",$628.24
"alteplase 50 mg intravenous solution","J2997",$17616.72
"aluminum hydroxide gel 320 mg/5 mL oral suspension","J3490",$5.97
"aluminum hydrox-magnesium carb 95 mg-358 mg/15 mL ","J3490",$16.41
"aluminum-mag hydroxide-simethicone 200 mg-200 mg-2","J3490",$2.73
"alvimopan 12 mg capsule","J3490",$488.11
"amantadine HCl 100 mg capsule","J3490",$20.85
"amantadine HCl 50 mg/5 mL oral solution","J3490",$69.92
"amifostine crystalline 500 mg intravenous solution","J0207",$2063.00
"amikacin 1,000 mg/4 mL injection solution,amikacin","J0278",$81.36
"aMILoride 5 mg tablet","J3490",$18.17
"amino acid 4.25 % in 10 % dextrose intravenous sol","J3490",$178.50
"amino acid 5 % in 15 % dextrose intravenous soluti","J3490",$196.00
"amino acids 4.25 % with lytes and calcium in D10W ","J3490",$210.00
"amino acids 5 % with lytes and calcium in D25W int","J3490",$206.50
"amino acids 5 %-dextrose 15 %-electrolytes intrave","J3490",$312.00
"aminocaproic acid 250 mg/mL intravenous solution","J3490",$21.25
"aminocaproic acid 500 mg tablet",,$144.88
"aminophylline 250 mg/10 mL intravenous solution","J0280",$61.48
"amiodarone 200 mg tablet","J3490",$17.76
"amiodarone 360 mg/200 mL (1.8 mg/mL) in dextrose, ","J0282",$224.70
"amiodarone 50 mg/mL intravenous solution","J0282",$72.16
